"b1","b2","b3","b4","b5","b6","psi","rho","tau","sigma_dem","sigma_env","SO_0","IO_0","delta","SB1_0","SB2_0","SB3_0","SB4_0","SB5_0","SB6_0","loglik","loglik.se"
3.63005754433999,-0.76328870790271,1.88872685344695,6.23435285829052,5.16689166383995,2.61946355210304,0.00286536343028887,0.0120689655172414,0.00123299947956615,0.0494414076846308,0.446140936926077,0.114924379257115,0.00169458663791264,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.760187258368,0.122902195199642
3.93485355022026,-3.17784935774599,1.98814774006364,6.0002295517947,5.24189850326937,2.38536022344867,0.00241463092890594,0.0136206896551724,0.00170692977753935,0.0424549573024104,0.461960980727454,0.12587988060569,0.00105928534451406,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.88048753806,0.132587133690289
3.53696267613517,-2.24077724513413,2.00028168930721,6.04903246405817,4.99585071036698,2.58883339254951,0.00234204876403705,0.0136206896551724,0.0022559714572655,0.0429033303052486,0.444196014270722,0.131084796768088,0.00122663139166856,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.890863654473,0.0894841208478594
3.11840555430897,1.12534679282908,1.45081960752367,6.37071520454641,5.00719609934019,2.64724122554921,0.00242886454555834,0.0124716499749193,0.00112070532140712,0.0398086142578052,0.490322998791907,0.12812030173799,0.000843865036199386,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.903614487525,0.121483722787851
3.56424407525917,-0.980194577947334,1.07947590574238,6.45127788724094,4.97331260506399,2.64778600904069,0.00263950780219268,0.0131034482758621,0.00168107061732919,0.0463599278377071,0.439606759269105,0.118271129634222,0.00208452336677421,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.923845676438,0.108143583041679
3.06997532903489,0.625614010845088,2.0545317726971,6.079542860188,4.86315029319586,2.58263245945316,0.00175073214557692,0.0136206896551724,0.00133738338532518,0.0390829810949661,0.472746384208556,0.158092531234734,0.000417107690750178,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.983941617019,0.0952479939861238
3.51834622900698,-1.1199884374196,1.53411688097625,6.36364223807803,5.08001318898629,2.5579492746539,0.00245230141143733,0.0125862068965517,0.00129234642115989,0.0410141862228071,0.479836959736637,0.125377768064216,0.00123552082590799,0.0166666666666667,4069,4565,4410,4616,4305,4032,-794.989267955826,0.0811360231236407
3.94249725497765,-3.74122346406865,1.92920875844257,5.99954551231742,5.14763970786503,2.15618869541619,0.0022041867375947,0.0146551724137931,0.000331527108147572,0.0416163120745379,0.49429671238629,0.146172446129124,0.000845610345820076,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.051393267006,0.194544922214173
2.83975305606604,0.666331082700267,0.971521527697174,6.29064480505712,4.7815676018728,2.61789862837694,0.00164600685215575,0.0151828932153653,0.00172901993854043,0.0349771757080005,0.497590878938131,0.16668053821003,0.000895814599443191,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.088074977291,0.148745825261767
3.30843909442107,-1.13869975182071,1.3428134668174,6.12930370356095,4.8308799682316,2.32685804199021,0.00153497572247006,0.0167241379310345,0.0022721264077019,0.0344074413945157,0.442750839863062,0.164230973772612,0.00108000562849497,0.0166666666666667,4069,4565,4410,4616,4305,4032,-795.128185144262,0.118447868318176
